      alt[km]    geometric factor
 5.705000E+02         8.726801E-01
 5.715000E+02         8.727055E-01
 5.725000E+02         8.727308E-01
 5.735000E+02         8.727559E-01
 5.745000E+02         8.727808E-01
 5.755000E+02         8.728056E-01
 5.765000E+02         8.728302E-01
 5.775000E+02         8.728546E-01
 5.785000E+02         8.728788E-01
 5.795000E+02         8.729029E-01
 5.805000E+02         8.729268E-01
 5.815000E+02         8.729506E-01
 5.825000E+02         8.729742E-01
 5.835000E+02         8.729976E-01
 5.845000E+02         8.730208E-01
 5.855000E+02         8.730439E-01
 5.865000E+02         8.730669E-01
 5.875000E+02         8.730897E-01
 5.885000E+02         8.731123E-01
 5.895000E+02         8.731348E-01
 5.905000E+02         8.731571E-01
 5.915000E+02         8.731793E-01
 5.925000E+02         8.732013E-01
 5.935000E+02         8.732231E-01
 5.945000E+02         8.732449E-01
 5.955000E+02         8.732664E-01
 5.965000E+02         8.732878E-01
 5.975000E+02         8.733091E-01
 5.985000E+02         8.733302E-01
 5.995000E+02         8.733512E-01
 6.005000E+02         8.733721E-01
 6.015000E+02         8.733928E-01
 6.025000E+02         8.734133E-01
 6.035000E+02         8.734337E-01
 6.045000E+02         8.734540E-01
 6.055000E+02         8.734742E-01
 6.065000E+02         8.734942E-01
 6.075000E+02         8.735140E-01
 6.085000E+02         8.735338E-01
 6.095000E+02         8.735534E-01
 6.105000E+02         8.735728E-01
 6.115000E+02         8.735921E-01
 6.125000E+02         8.736114E-01
 6.135000E+02         8.736304E-01
 6.145000E+02         8.736494E-01
 6.155000E+02         8.736682E-01
 6.165000E+02         8.736869E-01
 6.175000E+02         8.737054E-01
 6.185000E+02         8.737239E-01
 6.195000E+02         8.737422E-01
 6.205000E+02         8.737604E-01
 6.215000E+02         8.737784E-01
 6.225000E+02         8.737964E-01
 6.235000E+02         8.738142E-01
 6.245000E+02         8.738319E-01
 6.255000E+02         8.738495E-01
 6.265000E+02         8.738669E-01
 6.275000E+02         8.738843E-01
 6.285000E+02         8.739015E-01
 6.295000E+02         8.739186E-01
 6.305000E+02         8.739356E-01
 6.315000E+02         8.739525E-01
 6.325000E+02         8.739692E-01
 6.335000E+02         8.739859E-01
 6.345000E+02         8.740024E-01
 6.355000E+02         8.740189E-01
 6.365000E+02         8.740352E-01
 6.375000E+02         8.740514E-01
 6.385000E+02         8.740675E-01
 6.395000E+02         8.740835E-01
 6.405000E+02         8.740994E-01
 6.415000E+02         8.741151E-01
 6.425000E+02         8.741308E-01
 6.435000E+02         8.741464E-01
 6.445000E+02         8.741618E-01
 6.455000E+02         8.741772E-01
 6.465000E+02         8.741925E-01
 6.475000E+02         8.742076E-01
 6.485000E+02         8.742227E-01
 6.495000E+02         8.742376E-01
 6.505000E+02         8.742525E-01
 6.515000E+02         8.742672E-01
 6.525000E+02         8.742819E-01
 6.535000E+02         8.742964E-01
 6.545000E+02         8.743109E-01
 6.555000E+02         8.743252E-01
 6.565000E+02         8.743395E-01
 6.575000E+02         8.743537E-01
 6.585000E+02         8.743677E-01
 6.595000E+02         8.743817E-01
 6.605000E+02         8.743956E-01
 6.615000E+02         8.744094E-01
 6.625000E+02         8.744231E-01
 6.635000E+02         8.744367E-01
 6.645000E+02         8.744502E-01
 6.655000E+02         8.744636E-01
 6.665000E+02         8.744770E-01
 6.675000E+02         8.744902E-01
 6.685000E+02         8.745034E-01
 6.695000E+02         8.745164E-01
 6.705000E+02         8.745294E-01
 6.715000E+02         8.745423E-01
 6.725000E+02         8.745551E-01
 6.735000E+02         8.745678E-01
 6.745000E+02         8.745805E-01
 6.755000E+02         8.745930E-01
 6.765000E+02         8.746055E-01
 6.775000E+02         8.746179E-01
 6.785000E+02         8.746302E-01
 6.795000E+02         8.746424E-01
 6.805000E+02         8.746545E-01
 6.815000E+02         8.746666E-01
 6.825000E+02         8.746786E-01
 6.835000E+02         8.746905E-01
 6.845000E+02         8.747023E-01
 6.855000E+02         8.747140E-01
 6.865000E+02         8.747257E-01
 6.875000E+02         8.747373E-01
 6.885000E+02         8.747488E-01
 6.895000E+02         8.747602E-01
 6.905000E+02         8.747715E-01
 6.915000E+02         8.747828E-01
 6.925000E+02         8.747940E-01
 6.935000E+02         8.748051E-01
 6.945000E+02         8.748162E-01
 6.955000E+02         8.748271E-01
 6.965000E+02         8.748380E-01
 6.975000E+02         8.748489E-01
 6.985000E+02         8.748596E-01
 6.995000E+02         8.748703E-01
 7.005000E+02         8.748809E-01
 7.015000E+02         8.748914E-01
 7.025000E+02         8.749019E-01
 7.035000E+02         8.749123E-01
 7.045000E+02         8.749226E-01
 7.055000E+02         8.749329E-01
 7.065000E+02         8.749431E-01
 7.075000E+02         8.749532E-01
 7.085000E+02         8.749633E-01
 7.095000E+02         8.749732E-01
 7.105000E+02         8.749832E-01
 7.115000E+02         8.749930E-01
 7.125000E+02         8.750028E-01
 7.135000E+02         8.750125E-01
 7.145000E+02         8.750222E-01
 7.155000E+02         8.750318E-01
 7.165000E+02         8.750413E-01
 7.175000E+02         8.750507E-01
 7.185000E+02         8.750601E-01
 7.195000E+02         8.750695E-01
 7.205000E+02         8.750787E-01
 7.215000E+02         8.750880E-01
 7.225000E+02         8.750971E-01
 7.235000E+02         8.751062E-01
 7.245000E+02         8.751152E-01
 7.255000E+02         8.751242E-01
 7.265000E+02         8.751331E-01
 7.275000E+02         8.751419E-01
 7.285000E+02         8.751507E-01
 7.295000E+02         8.751594E-01
 7.305000E+02         8.751681E-01
 7.315000E+02         8.751767E-01
 7.325000E+02         8.751852E-01
 7.335000E+02         8.751937E-01
 7.345000E+02         8.752021E-01
 7.355000E+02         8.752105E-01
 7.365000E+02         8.752188E-01
 7.375000E+02         8.752271E-01
 7.385000E+02         8.752353E-01
 7.395000E+02         8.752434E-01
 7.405000E+02         8.752515E-01
 7.415000E+02         8.752596E-01
 7.425000E+02         8.752675E-01
 7.435000E+02         8.752755E-01
 7.445000E+02         8.752833E-01
 7.455000E+02         8.752912E-01
 7.465000E+02         8.752989E-01
 7.475000E+02         8.753066E-01
 7.485000E+02         8.753143E-01
 7.495000E+02         8.753219E-01
 7.505000E+02         8.753295E-01
 7.515000E+02         8.753370E-01
 7.525000E+02         8.753444E-01
 7.535000E+02         8.753518E-01
 7.545000E+02         8.753592E-01
 7.555000E+02         8.753665E-01
 7.565000E+02         8.753737E-01
 7.575000E+02         8.753809E-01
 7.585000E+02         8.753881E-01
 7.595000E+02         8.753952E-01
 7.605000E+02         8.754022E-01
 7.615000E+02         8.754092E-01
 7.625000E+02         8.754162E-01
 7.635000E+02         8.754231E-01
 7.645000E+02         8.754300E-01
 7.655000E+02         8.754368E-01
 7.665000E+02         8.754435E-01
 7.675000E+02         8.754503E-01
 7.685000E+02         8.754569E-01
 7.695000E+02         8.754636E-01
 7.705000E+02         8.754701E-01
 7.715000E+02         8.754767E-01
 7.725000E+02         8.754832E-01
 7.735000E+02         8.754896E-01
 7.745000E+02         8.754960E-01
 7.755000E+02         8.755024E-01
 7.765000E+02         8.755087E-01
 7.775000E+02         8.755149E-01
 7.785000E+02         8.755211E-01
 7.795000E+02         8.755273E-01
 7.805000E+02         8.755335E-01
 7.815000E+02         8.755396E-01
 7.825000E+02         8.755456E-01
 7.835000E+02         8.755516E-01
 7.845000E+02         8.755576E-01
 7.855000E+02         8.755635E-01
 7.865000E+02         8.755694E-01
 7.875000E+02         8.755752E-01
